Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.10	1073741824	975278019	5	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time
file1.mp4_0	19692761	0	2018-07-18 05:59:14.146	2018-07-18 05:59:14.146
file1.mp4_1	19692761	0	2018-07-18 05:59:14.146	2018-07-18 05:59:14.146
file2.mp4_0	19692761	0	2018-07-18 05:59:14.144	2018-07-18 05:59:14.144
file3.mp4_1	19692761	0	2018-07-18 05:59:14.144	2018-07-18 05:59:14.144
file3.mp4_0	19692761	0	2018-07-18 05:59:14.142	2018-07-18 05:59:14.142

Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.12	1073741824	975278017	5	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time
file1.mp4_0	19692761	0	2018-07-18 05:59:14.146	2018-07-18 05:59:14.146
file2.mp4_0	19692761	0	2018-07-18 05:59:14.144	2018-07-18 05:59:14.144
file2.mp4_1	19692761	0	2018-07-18 05:59:14.145	2018-07-18 05:59:14.145
file3.mp4_2	19692763	0	2018-07-18 05:59:14.144	2018-07-18 05:59:14.144
file3.mp4_0	19692761	0	2018-07-18 05:59:14.143	2018-07-18 05:59:14.143

Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.14	1073741824	975278015	5	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time
file1.mp4_0	19692761	0	2018-07-18 05:59:14.146	2018-07-18 05:59:14.146
file2.mp4_2	19692763	0	2018-07-18 05:59:14.145	2018-07-18 05:59:14.145
file1.mp4_2	19692763	0	2018-07-18 05:59:14.147	2018-07-18 05:59:14.147
file2.mp4_0	19692761	0	2018-07-18 05:59:14.145	2018-07-18 05:59:14.145
file3.mp4_0	19692761	0	2018-07-18 05:59:14.143	2018-07-18 05:59:14.143

