Chunk Name	Chunk Size	Chunk Start Index	Chunk Last Index	Chunk Hit Count	File Name	File Size	File Hit Count	File Popularity	File Split	192.168.1.10	192.168.1.12	192.168.1.14	
file3.mp4_0	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file3.mp4_1	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file3.mp4_2	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file3.mp4_3	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file3.mp4_4	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file3.mp4_5	14769573	0	0	0	file3.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_0	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_1	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_2	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_3	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_4	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file2.mp4_5	14769573	0	0	0	file2.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_0	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_1	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_2	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_3	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_4	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
file1.mp4_5	14769573	0	0	0	file1.mp4	59078285	0	0.25	true	N	N	N	
